Company name,Company domain name,Website URL,Phone number,City,Street address,Postal code,Lead category,Lead segment,Lead source,Import batch,ICP,Outreach status,Priority score,First wave,Number of rooms,Stars,Personal observation,Next action,Follow-up date
HÔTEL LOUVRE PIEMONT,hotel-louvre-piemont.com,www.hotel-louvre-piemont.com,142964450,PARIS,22 rue de Richelieu,75001,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,20,3,,Check website,
HÔTEL SAINT-LOUIS EN L'ISLE,saintlouisenlisle.com,www.saintlouisenlisle.com,146340480,PARIS,75 rue Saint-Louis en l'Ile,75004,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,20,3,,Check website,
HÔTEL AMIRAL FONDARY,hotelamiralfondary.com,www.hotelamiralfondary.com,145751475,PARIS,30 rue fondary,75015,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,20,3,,Check website,
HÔTEL PARIS LÉCLUSE,parislecluse.com,www.parislecluse.com,144700791,PARIS,17 Rue Lécluse,75017,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,20,3,,Check website,
HÔTEL JENNER,hoteljenner.com,www.hoteljenner.com/,145843017,PARIS,10 Rue Jenner,75013,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,20,3,,Check website,
HÔTEL CHAMBELLAN MORGANE,hotelchambellanmorgane.fr,www.hotelchambellanmorgane.fr,629595170,PARIS,6 rue Keppler,75016,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,20,3,,Check website,
HÔTEL LOUVRE SAINTE-ANNE,louvre-ste-anne.fr,www.louvre-ste-anne.fr,140200235,PARIS,32 RUE SAINTE-ANNE,75001,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,20,3,,Check website,
HÔTEL DE LA PLACE DU LOUVRE,paris-hotel-place-du-louvre.com,www.paris-hotel-place-du-louvre.com/fr,142337868,PARIS,21 rue des prêtres Saint-Germain L'Auxerrois,75001,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,20,3,,Check website,
HÔTEL RIVIERA,hotelriviera-paris.com,hotelriviera-paris.com,143804531,PARIS,55 rue des Acacias,75017,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,21,3,,Check website,
AUBERGE FLORA,aubergeflora.fr,www.aubergeflora.fr,607770624,PARIS,44 boulevard Richard Lenoir,75011,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,21,3,,Check website,
HÔTEL BONNE NOUVELLE,hotel-bonne-nouvelle.com,www.hotel-bonne-nouvelle.com,145084242,PARIS,17  Rue Beauregard,75002,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,21,3,,Check website,
HÔTEL LE CLÉRY,leclery-hotel-paris.com,www.leclery-hotel-paris.com,142338242,PARIS,13 Boulevard DE BONNE NOUVELLE,75002,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,21,3,,Check website,
HÔTEL DE LA TULIPE,paris-hotel-tulipe.com,www.paris-hotel-tulipe.com/,145516721,PARIS,33 rue Malar,75007,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,21,3,,Check website,
HÔTEL ÉCOLE CENTRALE,paris-marais-hotel.fr,www.paris-marais-hotel.fr/,148047776,PARIS,3 rue Bailly,75003,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,22,3,,Check website,
LE CHAMPERRET HÉLIOPOLIS,hotel-heliopolis.com,www.hotel-heliopolis.com,147649256,PARIS,13 rue d'Héliopolis,75017,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,22,3,,Check website,
HÔTEL GARANCE CAROFFTEL GOBELINS,hotelgarance.com,www.hotelgarance.com/fr/,142174747,PARIS,18 AVENUE DES GOBELINS,75005,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,22,3,,Check website,
HOTEL HANDSOME,hotelhandsomeparis.com,www.hotelhandsomeparis.com,142361590,PARIS,83 rue Rambuteau,75001,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,22,3,,Check website,
HÔTEL CLAIREFONTAINE,hotel-clairefontaine-paris.fr,www.hotel-clairefontaine-paris.fr,143220520,PARIS,11 rue Fermat,75014,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,22,3,,Check website,
HÔTEL HENRI IV RIVE GAUCHE,henri4hotel.com,www.henri4hotel.com,146332020,PARIS,9-11 rue saint jacques,75005,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,23,3,,Check website,
HÔTEL JACQUES DE MOLAY,hotelmolay.fr,www.hotelmolay.fr,142726822,PARIS,94 rue des archives,75003,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,23,3,,Check website,
HÔTEL LE PETIT MADELEINE,petitmadeleinehotel.com,www.petitmadeleinehotel.com,142651436,PARIS,22 RUE ROQUÉPINE,75008,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,23,3,,Check website,
HÔTEL DE NICE,hoteldenice.com,www.hoteldenice.com,142785529,PARIS,42 BIS RUE DE RIVOLI,75004,Hotel,a_plus_priority,IDF classified hotels database,Hotels_IDF_May2026,Independent hotels 15-40 rooms in Île-de-France,New lead,22,Yes,23,3,,Check website,
